run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_promoters_vs_inactive_promoters,H1,7,0.054277237040547134,0.995719850063324,0.9863077998161316,0.9817044734954834,0.9996517896652222,0.9965852499008179,0.9840007424354553,0.9917385578155518,0.9971693158149719,0.01369220670312643,0.0028306927997618914,0.9815338253974915
test,active_promoters_vs_inactive_promoters,H1,7,0.6414166747391978,0.8412173986434937,0.16579145193099976,0.3179856240749359,0.6601364612579346,0.23654873669147491,0.21794871985912323,0.5555143356323242,0.9452371597290039,0.8342085480690002,0.05476286634802818,0.1483931541442871
train,active_promoters_vs_inactive_promoters,H1,8,0.047238633000907804,0.9977097511291504,0.9968113899230957,0.986175537109375,0.9999108910560608,0.9991822242736816,0.9914649724960327,0.9973297119140625,0.9978480935096741,0.0031885961070656776,0.002151904162019491,0.9901614785194397
test,active_promoters_vs_inactive_promoters,H1,8,0.626825399791138,0.8337588310241699,0.18379594385623932,0.2996941804885864,0.6655994653701782,0.23771435022354126,0.22785398364067078,0.5588265061378479,0.9338570833206177,0.8162040710449219,0.06614291667938232,0.14595267176628113
train,active_promoters_vs_inactive_promoters,H1,9,0.06323713965166491,0.9943807721138,0.9820876121520996,0.9759552478790283,0.9994185566902161,0.9952279329299927,0.9790118336677551,0.9891807436943054,0.9962738752365112,0.017912406474351883,0.0037261159159243107,0.975774347782135
test,active_promoters_vs_inactive_promoters,H1,9,0.61013863396041,0.8395154476165771,0.1627907007932663,0.3082386255264282,0.6668606996536255,0.24078044295310974,0.21305841207504272,0.5532629489898682,0.9437351822853088,0.8372092843055725,0.05626480281352997,0.14153072237968445
train,active_enhancers_vs_active_promoters,H1,0,0.11032431601331784,0.9709004759788513,0.9853699803352356,0.9790346622467041,0.9906643629074097,0.9978387355804443,0.9821920990943909,0.9463887214660645,0.9074074029922485,0.01463002897799015,0.09259258955717087,0.9028128385543823
test,active_enhancers_vs_active_promoters,H1,0,0.5626775691142449,0.8481979370117188,0.9216054081916809,0.8950819969177246,0.8445594310760498,0.9457852244377136,0.9081500768661499,0.7239606380462646,0.5263158082962036,0.07839459925889969,0.4736842215061188,0.47324326634407043
train,active_enhancers_vs_active_promoters,H1,1,0.12335105297657159,0.9558542966842651,0.9846197366714478,0.9620636105537415,0.990129292011261,0.9979612231254578,0.9732109904289246,0.9071246385574341,0.8296296000480652,0.015380286611616611,0.17037037014961243,0.8497671484947205
test,active_enhancers_vs_active_promoters,H1,1,0.5404076667932364,0.8469761610031128,0.9411102533340454,0.8794251680374146,0.8273501396179199,0.9376559853553772,0.9092226624488831,0.6876603960990906,0.43421053886413574,0.0588897205889225,0.5657894611358643,0.4360061287879944
train,active_enhancers_vs_active_promoters,H1,2,0.18710245192050934,0.9443213939666748,0.9379161596298218,0.9933452606201172,0.9804492592811584,0.9959405660629272,0.9648352861404419,0.955172061920166,0.9724279642105103,0.06208384037017822,0.027572017163038254,0.8396807312965393
test,active_enhancers_vs_active_promoters,H1,2,0.3880261755906619,0.8225412368774414,0.8687171936035156,0.9093050360679626,0.8441874384880066,0.9546914100646973,0.8885478377342224,0.7443915009498596,0.6200658082962036,0.13128282129764557,0.3799342215061188,0.4573158621788025
train,active_enhancers_vs_active_promoters,H1,3,0.09959209309174465,0.9843427538871765,0.9847134947776794,0.9960159659385681,0.9934909343719482,0.9986860752105713,0.9903324842453003,0.983714759349823,0.9827160239219666,0.015286504290997982,0.017283950001001358,0.9496104121208191
test,active_enhancers_vs_active_promoters,H1,3,0.42525336146354675,0.8518631458282471,0.9171043038368225,0.9025470614433289,0.8593312501907349,0.9540813565254211,0.9097674489021301,0.741446852684021,0.5657894611358643,0.08289572596549988,0.43421053886413574,0.49694088101387024
train,active_enhancers_vs_active_promoters,H1,4,0.09446859631973964,0.9861758351325989,0.9838694334030151,0.9991428852081299,0.9957983493804932,0.999159574508667,0.9914473295211792,0.990082859992981,0.9962962865829468,0.016130544245243073,0.003703703638166189,0.9561949968338013
test,active_enhancers_vs_active_promoters,H1,4,0.46103355288505554,0.8387293815612793,0.8998499512672424,0.9018797278404236,0.8425540328025818,0.9483857750892639,0.9008637070655823,0.7352868318557739,0.5707237124443054,0.10015003383159637,0.42927631735801697,0.4687965512275696
train,active_enhancers_vs_active_promoters,H1,5,0.09997229664944686,0.9818987250328064,0.9798368215560913,0.9978987574577332,0.992821455001831,0.9985631108283997,0.9887853264808655,0.9853916764259338,0.9909465312957764,0.02016318030655384,0.009053497575223446,0.942958652973175
test,active_enhancers_vs_active_promoters,H1,5,0.45420307379502517,0.8402565717697144,0.8964741230010986,0.9063329696655273,0.8422949910163879,0.9480205774307251,0.9013766050338745,0.7451120615005493,0.59375,0.10352588444948196,0.40625,0.48156148195266724
train,active_enhancers_vs_active_promoters,H1,6,0.11719815877194588,0.9770106077194214,0.9742099046707153,0.9975033402442932,0.9922205209732056,0.9984264373779297,0.9857190251350403,0.9817551374435425,0.9893004298210144,0.02579011581838131,0.010699588805437088,0.9285473823547363
test,active_enhancers_vs_active_promoters,H1,6,0.41434568625230056,0.8396456837654114,0.8919730186462402,0.9093690514564514,0.8578490018844604,0.9568721055984497,0.9005870223045349,0.7510851621627808,0.6101973652839661,0.10802700370550156,0.38980263471603394,0.4870285391807556
train,active_enhancers_vs_active_promoters,H1,7,0.19052652584818694,0.938287615776062,0.9405420422554016,0.9829462170600891,0.9732133746147156,0.9942517280578613,0.9612767100334167,0.9344685077667236,0.9283950328826904,0.059457939118146896,0.07160493731498718,0.814551055431366
test,active_enhancers_vs_active_promoters,H1,7,0.39564776649841893,0.8228466510772705,0.878094494342804,0.9017719626426697,0.8410843014717102,0.9558426141738892,0.8897757530212402,0.7293432950973511,0.5805920958518982,0.12190547585487366,0.4194079041481018,0.4401804804801941
train,active_enhancers_vs_active_promoters,H1,8,0.10634905013900536,0.9800657033920288,0.982275128364563,0.9931727647781372,0.9922926425933838,0.998357892036438,0.9876939058303833,0.9763227701187134,0.970370352268219,0.017724843695759773,0.029629629105329514,0.9356551766395569
test,active_enhancers_vs_active_promoters,H1,8,0.44119848425571734,0.8475870490074158,0.9163540601730347,0.8984920978546143,0.8509646654129028,0.950785219669342,0.9073351621627808,0.7312033176422119,0.5460526347160339,0.08364591002464294,0.45394736528396606,0.4792420268058777
train,active_enhancers_vs_active_promoters,H1,9,0.841940680375466,0.4113648533821106,0.2792834937572479,0.9926666617393494,0.6850024461746216,0.9182948470115662,0.4359218180179596,0.6351150274276733,0.9909465312957764,0.7207164764404297,0.009053497575223446,0.24998022615909576
test,active_enhancers_vs_active_promoters,H1,9,0.8876991271972656,0.37538179755210876,0.2460615187883377,0.9493487477302551,0.619379460811615,0.8864121437072754,0.39082515239715576,0.5942478775978088,0.9424341917037964,0.7539384961128235,0.05756578966975212,0.17963136732578278
train,inactive_enhancers_vs_inactive_promoters,H1,0,0.25108872396234333,0.9074157476425171,0.8644444942474365,0.9757588505744934,0.9720856547355652,0.9824245572090149,0.9167349338531494,0.9167963266372681,0.9691480994224548,0.13555552065372467,0.030851902440190315,0.8209207653999329
test,inactive_enhancers_vs_inactive_promoters,H1,0,0.5125079136827718,0.7525885701179504,0.7184449434280396,0.8388075828552246,0.8428542613983154,0.8903512954711914,0.7739747166633606,0.7600440979003906,0.8016433119773865,0.28155508637428284,0.19835670292377472,0.5116928219795227
train,inactive_enhancers_vs_inactive_promoters,H1,1,0.24546662112596507,0.9007910490036011,0.8917837738990784,0.9369101524353027,0.9730810523033142,0.9817372560501099,0.9137901663780212,0.9027572870254517,0.9137308597564697,0.10821623355150223,0.08626914024353027,0.7984806895256042
test,inactive_enhancers_vs_inactive_promoters,H1,1,0.5181700022324272,0.7572547793388367,0.7781179547309875,0.803891122341156,0.8383148908615112,0.8850877285003662,0.7907946109771729,0.7526991367340088,0.7272802591323853,0.22188204526901245,0.27271974086761475,0.5022626519203186
train,inactive_enhancers_vs_inactive_promoters,H1,2,0.221893435827008,0.9267874956130981,0.8944122791290283,0.9796415567398071,0.9797379970550537,0.9873943328857422,0.9350888729095459,0.9338549375534058,0.973297655582428,0.10558772832155228,0.02670235186815262,0.8561819195747375
test,inactive_enhancers_vs_inactive_promoters,H1,2,0.5213812874711078,0.7599795460700989,0.7361215353012085,0.83714359998703,0.8437444567680359,0.8889431953430176,0.783389151096344,0.7651891708374023,0.7942568063735962,0.2638784646987915,0.205743208527565,0.5221466422080994
train,inactive_enhancers_vs_inactive_promoters,H1,3,0.24272873731480185,0.9135040044784546,0.9683713316917419,0.8937869071960449,0.9761963486671448,0.9831947088241577,0.9295854568481445,0.9015266299247742,0.8346819281578064,0.03162866085767746,0.1653180569410324,0.8223743438720703
test,inactive_enhancers_vs_inactive_promoters,H1,3,0.5165120573147484,0.749897837638855,0.8395817875862122,0.7609423995018005,0.8383509516716003,0.8854541778564453,0.7983301877975464,0.7303146123886108,0.6210473775863647,0.16041822731494904,0.37895262241363525,0.475223183631897
train,inactive_enhancers_vs_inactive_promoters,H1,4,0.23284239833261453,0.9216955304145813,0.8948888778686523,0.9699754118919373,0.9754162430763245,0.9846080541610718,0.9309204816818237,0.9275473356246948,0.9602057933807373,0.10511113703250885,0.039794180542230606,0.8445247411727905
