run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
test,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.2327988201379776,0.9429564476013184,0.0,0.0,0.5525723695755005,0.07106702029705048,0.0,0.4999580979347229,0.9999161958694458,1.0,8.378016354981808e-05,-0.0021846909075975422
subtrain,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.20854486384481755,0.9431139230728148,0.0008673027041368186,1.0,0.7329244017601013,0.1798492968082428,0.001733102253638208,0.5004336237907411,1.0,0.9991326928138732,0.0,0.028600048273801807
valid,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.20591123700141906,0.9431167244911194,0.0,0.0,0.7530006170272827,0.2016400396823883,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,4,0.32403651597180894,56,0,7,3,1,1,0.3876040867125608,85,2,3,5,1,1,0.18430742984543452,3,0,0.17560776501520428,0,28,0.22362828352535613,0.9430750012397766,0.0,0.0,0.6192520260810852,0.1100306287407875,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,4,0.32403651597180894,56,0,7,3,1,1,0.3876040867125608,85,2,3,5,1,1,0.18430742984543452,3,0,0.17560776501520428,0,28,0.22578251749277115,0.9430354833602904,0.0,0.0,0.5974311232566833,0.10117459297180176,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,4,0.32403651597180894,56,0,7,3,1,1,0.3876040867125608,85,2,3,5,1,1,0.18430742984543452,3,0,0.17560776501520428,0,28,0.22293876172424112,0.943064510822296,0.0,0.0,0.6214349865913391,0.10978326946496964,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,4,0.32403651597180894,56,0,7,3,1,1,0.3876040867125608,85,2,3,5,1,1,0.18430742984543452,3,0,0.17560776501520428,0,28,0.2234313640743494,0.9431167244911194,0.0,0.0,0.6105129718780518,0.11195628345012663,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,5,0.22074569499785252,14,0,8,5,1,2,9.534359104383659e-05,71,1,2,2,1,1,0.28754873430258804,0,0,0.1541178642365303,0,28,0.22121272499513145,0.9430750012397766,0.0,0.0,0.6827512383460999,0.1407236009836197,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,5,0.22074569499785252,14,0,8,5,1,2,9.534359104383659e-05,71,1,2,2,1,1,0.28754873430258804,0,0,0.1541178642365303,0,28,0.23133540391922,0.9430354833602904,0.0,0.0,0.5759808421134949,0.081480011343956,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,5,0.22074569499785252,14,0,8,5,1,2,9.534359104383659e-05,71,1,2,2,1,1,0.28754873430258804,0,0,0.1541178642365303,0,28,0.22103914318594545,0.943064510822296,0.0,0.0,0.6802374720573425,0.13875308632850647,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,5,0.22074569499785252,14,0,8,5,1,2,9.534359104383659e-05,71,1,2,2,1,1,0.28754873430258804,0,0,0.1541178642365303,0,28,0.21998812593519687,0.9431167244911194,0.0,0.0,0.6926775574684143,0.15019594132900238,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,6,0.4376048583204437,28,0,8,8,1,2,0.31063991540394603,128,1,4,5,2,1,0.2007828612379056,0,7,0.4466710953161947,0,35,0.2234917716922784,0.9430750012397766,0.0,0.0,0.6143200397491455,0.10588639974594116,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,6,0.4376048583204437,28,0,8,8,1,2,0.31063991540394603,128,1,4,5,2,1,0.2007828612379056,0,7,0.4466710953161947,0,35,0.22343045234680176,0.9430354833602904,0.0,0.0,0.6051285862922668,0.11166836321353912,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,6,0.4376048583204437,28,0,8,8,1,2,0.31063991540394603,128,1,4,5,2,1,0.2007828612379056,0,7,0.4466710953161947,0,35,0.22298089635072266,0.943064510822296,0.0,0.0,0.6134947538375854,0.10721815377473833,0.0,0.5,1.0,1.0,0.0,0.0
