run_type,task,cell_line,holdout_number,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,DenseRectangularMetaLayer_2_dropout_rate,DenseRectangularMetaLayer_2_layers,DenseRectangularMetaLayer_2_units,DenseRectangularMetaLayer_3_dropout_rate,DenseRectangularMetaLayer_3_layers,DenseRectangularMetaLayer_3_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,7,0.06504025457109662,0,28,0.26086453084867184,1,227,0.25166086980514,1,227,0.2418547289423643,0,227,0.23325973335239625,0.9434107542037964,0.009021513164043428,0.7428571581840515,0.7859924435615541,0.2617691457271576,0.017826534807682037,0.5044165253639221,0.9998115301132202,0.990978479385376,0.00018849746265914288,0.07786552608013153
test,active_enhancers_vs_inactive_enhancers,A549,7,0.06504025457109662,0,28,0.26086453084867184,1,227,0.25166086980514,1,227,0.2418547289423643,0,227,0.2429864275455475,0.943114459514618,0.009708737954497336,0.5384615659713745,0.7370066046714783,0.2272927612066269,0.019073570147156715,0.5046030282974243,0.9994972944259644,0.9902912378311156,0.0005026809521950781,0.06661266088485718
subtrain,active_enhancers_vs_inactive_enhancers,A549,7,0.06504025457109662,0,28,0.26086453084867184,1,227,0.25166086980514,1,227,0.2418547289423643,0,227,0.23183563004874586,0.9434842467308044,0.009973980486392977,0.7931034564971924,0.7896104454994202,0.2687700390815735,0.019700214266777042,0.5049084424972534,0.9998429417610168,0.9900259971618652,0.0001570845051901415,0.08504153788089752
valid,active_enhancers_vs_inactive_enhancers,A549,7,0.06504025457109662,0,28,0.26086453084867184,1,227,0.25166086980514,1,227,0.2418547289423643,0,227,0.2367400959134102,0.9431167244911194,0.0086805559694767,0.5,0.7716576457023621,0.23756466805934906,0.017064847052097317,0.5040785074234009,0.999476432800293,0.9913194179534912,0.0005235602147877216,0.060150429606437676
train,active_enhancers_vs_inactive_enhancers,A549,8,0.3424591513767488,1,227,0.22435358582656434,0,199,0.22430394561209666,2,56,0.3313677550222561,1,28,0.22056378341383406,0.9430156946182252,0.003816793905571103,0.4399999976158142,0.7795234918594359,0.2453574389219284,0.007567939348518848,0.501761794090271,0.99970680475235,0.996183216571808,0.00029321826878003776,0.03674861416220665
test,active_enhancers_vs_inactive_enhancers,A549,8,0.3424591513767488,1,227,0.22435358582656434,0,199,0.22430394561209666,2,56,0.3313677550222561,1,28,0.22228663831949236,0.94319349527359,0.005547850392758846,0.6666666865348816,0.7606253027915955,0.24359899759292605,0.011004126630723476,0.5026901364326477,0.9998324513435364,0.994452178478241,0.00016756032709963617,0.05728812888264656
subtrain,active_enhancers_vs_inactive_enhancers,A549,8,0.3424591513767488,1,227,0.22435358582656434,0,199,0.22430394561209666,2,56,0.3313677550222561,1,28,0.2207420010049388,0.943064510822296,0.0034692108165472746,0.5,0.7770451307296753,0.2419490367174149,0.006890611723065375,0.5016298890113831,0.9997905492782592,0.9965307712554932,0.0002094460214721039,0.03801127523183823
valid,active_enhancers_vs_inactive_enhancers,A549,8,0.3424591513767488,1,227,0.22435358582656434,0,199,0.22430394561209666,2,56,0.3313677550222561,1,28,0.21845022924244406,0.9428204894065856,0.006944444496184588,0.3636363744735718,0.7851698994636536,0.25511524081230164,0.013628619723021984,0.5031057596206665,0.999267041683197,0.9930555820465088,0.0007329842774197459,0.04367443919181824
train,active_enhancers_vs_inactive_enhancers,A549,9,0.2660742829558524,1,256,0.1432627644276005,0,142,0.007562638630674302,1,113,0.17204349007807168,2,56,0.2469876212152568,0.9437860250473022,0.02116585709154606,0.7093023061752319,0.7896314859390259,0.2826935052871704,0.04110512137413025,0.5103211402893066,0.9994763731956482,0.9788341522216796,0.0005236040451563895,0.116144098341465
test,active_enhancers_vs_inactive_enhancers,A549,9,0.2660742829558524,1,256,0.1432627644276005,0,142,0.007562638630674302,1,113,0.17204349007807168,2,56,0.2547569525241852,0.943430483341217,0.016643550246953964,0.6315789222717285,0.7563919425010681,0.23531030118465426,0.0324324332177639,0.5080285668373108,0.9994135499000548,0.983356475830078,0.000586461101192981,0.09612754732370377
subtrain,active_enhancers_vs_inactive_enhancers,A549,9,0.2660742829558524,1,256,0.1432627644276005,0,142,0.007562638630674302,1,113,0.17204349007807168,2,56,0.24664749804907626,0.9440027475357056,0.02298352122306824,0.7794117927551271,0.7894670367240906,0.2888174653053284,0.0446503795683384,0.5112953782081604,0.999607264995575,0.9770164489746094,0.0003927112848032266,0.1278623193502426
valid,active_enhancers_vs_inactive_enhancers,A549,9,0.2660742829558524,1,256,0.1432627644276005,0,142,0.007562638630674302,1,113,0.17204349007807168,2,56,0.24659909419715406,0.9429191946983336,0.013888888992369177,0.4444444477558136,0.7901282906532288,0.2630300223827362,0.02693602629005909,0.5064208507537842,0.998952865600586,0.9861111044883728,0.0010471204295754433,0.07061043381690979
train,active_promoters_vs_inactive_promoters,A549,0,0.21682275320465225,1,199,0.11950965875444873,0,0,0.09977580943105864,0,56,0.031892983659306845,0,227,0.24733619939404936,0.8977147340774536,0.02074739150702953,0.6263736486434937,0.8771469593048096,0.4046973884105681,0.04016441479325295,0.5096620321273804,0.9985766410827636,0.9792526364326476,0.0014233484398573635,0.10072478652000427
test,active_promoters_vs_inactive_promoters,A549,0,0.21682275320465225,1,199,0.11950965875444873,0,0,0.09977580943105864,0,56,0.031892983659306845,0,227,0.2505054151332831,0.8972818851470947,0.01893203891813755,0.5571428537368774,0.8705474734306335,0.3737546503543854,0.03661971911787987,0.5086008906364441,0.99826979637146,0.981067955493927,0.001730200368911028,0.08852974325418472
subtrain,active_promoters_vs_inactive_promoters,A549,0,0.21682275320465225,1,199,0.11950965875444873,0,0,0.09977580943105864,0,56,0.031892983659306845,0,227,0.2477897283434868,0.8977988958358765,0.021686380729079247,0.6355555653572083,0.8769110441207886,0.4082010686397553,0.04194163531064987,0.5101280212402344,0.998569667339325,0.9783136248588562,0.0014303406933322547,0.10403083264827727
valid,active_promoters_vs_inactive_promoters,A549,0,0.21682275320465225,1,199,0.11950965875444873,0,0,0.09977580943105864,0,56,0.031892983659306845,0,227,0.2465371853775448,0.8970026969909668,0.015169902704656126,0.5208333134651184,0.8778869509696959,0.39072823524475103,0.029481131583452225,0.506782591342926,0.9983953237533568,0.98483008146286,0.0016046884702518582,0.07538837939500809
train,active_promoters_vs_inactive_promoters,A549,1,0.19020372304660232,2,113,0.22785218291071796,0,85,0.11000782749017382,2,0,0.3035111174854791,0,0,0.2435637997647825,0.8973518013954163,0.0527784526348114,0.5240963697433472,0.8781409263610841,0.39843595027923584,0.09589947015047072,0.5236332416534424,0.994488000869751,0.947221577167511,0.005511987023055554,0.14179404079914093
test,active_promoters_vs_inactive_promoters,A549,1,0.19020372304660232,2,113,0.22785218291071796,0,85,0.11000782749017382,2,0,0.3035111174854791,0,0,0.2428024971409689,0.8962306380271912,0.043689321726560586,0.4663212299346924,0.8774924874305725,0.3834508359432221,0.07989347726106644,0.5189703106880188,0.9942512512207032,0.9563106894493104,0.005748730152845383,0.11795996129512787
subtrain,active_promoters_vs_inactive_promoters,A549,1,0.19020372304660232,2,113,0.22785218291071796,0,85,0.11000782749017382,2,0,0.3035111174854791,0,0,0.24353123700618745,0.8974704146385193,0.0541401281952858,0.5296735763549805,0.8781184554100037,0.39883431792259216,0.09823885560035706,0.5243053436279297,0.9944705367088318,0.9458598494529724,0.005529487505555153,0.14475588500499725
valid,active_promoters_vs_inactive_promoters,A549,1,0.19020372304660232,2,113,0.22785218291071796,0,85,0.11000782749017382,2,0,0.3035111174854791,0,0,0.24415791815235505,0.8970026969909668,0.04854368790984154,0.5063291192054749,0.8778747320175171,0.3966703414916992,0.08859357982873918,0.5215508341789246,0.994558036327362,0.9514563083648682,0.005441986955702305,0.13248558342456818
train,active_promoters_vs_inactive_promoters,A549,2,0.3116672461739252,0,199,0.09611396731579123,1,0,0.1333179585897752,0,56,0.11858849570210805,1,85,0.2446399422023243,0.8975020051002502,0.0357922837138176,0.5483271479606628,0.8791580200195312,0.3987521529197693,0.06719817966222763,0.5162006616592407,0.996609091758728,0.9642077088356018,0.003390918485820293,0.12050794810056685
test,active_promoters_vs_inactive_promoters,A549,2,0.3116672461739252,0,199,0.09611396731579123,1,0,0.1333179585897752,0,56,0.11858849570210805,1,85,0.24517551649220384,0.8965810537338257,0.033980581909418106,0.4794520437717438,0.8768631219863892,0.3812097907066345,0.06346328556537628,0.5148693919181824,0.9957582354545592,0.9660193920135498,0.004241781774908304,0.10617956519126892
subtrain,active_promoters_vs_inactive_promoters,A549,2,0.3116672461739252,0,199,0.09611396731579123,1,0,0.1333179585897752,0,56,0.11858849570210805,1,85,0.24459943372011184,0.8972826600074768,0.03503184765577316,0.5322580933570862,0.8789798021316528,0.39744600653648376,0.0657370537519455,0.5157454013824463,0.9964590072631836,0.9649681448936462,0.0035409652628004547,0.11664130538702012
valid,active_promoters_vs_inactive_promoters,A549,2,0.3116672461739252,0,199,0.09611396731579123,1,0,0.1333179585897752,0,56,0.11858849570210805,1,85,0.24357040959691245,0.8978787064552307,0.04004854336380959,0.5689654946327211,0.8796792030334473,0.403012365102768,0.07482992857694626,0.518280029296875,0.9965115189552308,0.9599514603614808,0.0034884531050920486,0.13098011910915375
train,active_promoters_vs_inactive_promoters,A549,3,0.4270285476054689,3,199,0.22533528275845344,2,0,0.19432478003850973,0,256,0.1822459229852731,0,28,0.23821868816503705,0.8971265554428101,0.049745205789804466,0.5137844681739807,0.8909903168678284,0.40671160817146296,0.090707965195179,0.5221654772758484,0.9945856928825378,0.9502547979354858,0.0054143061861395845,0.13560046255588531
test,active_promoters_vs_inactive_promoters,A549,3,0.4270285476054689,3,199,0.22533528275845344,2,0,0.19432478003850973,0,256,0.1822459229852731,0,28,0.2511492629971685,0.8961806297302246,0.041747573763132095,0.462365597486496,0.8751213550567627,0.3776891827583313,0.07658058404922485,0.5180831551551819,0.9944186806678772,0.9582524299621582,0.005581291392445564,0.11451958864927292
subtrain,active_promoters_vs_inactive_promoters,A549,3,0.4270285476054689,3,199,0.22533528275845344,2,0,0.19432478003850973,0,256,0.1822459229852731,0,28,0.23807186788320545,0.8968133330345154,0.0476190485060215,0.498412698507309,0.891282856464386,0.4056423604488373,0.08693245053291321,0.5210534930229187,0.9944879412651062,0.9523809552192688,0.005512044299393892,0.1296486109495163
valid,active_promoters_vs_inactive_promoters,A549,3,0.4270285476054689,3,199,0.22533528275845344,2,0,0.19432478003850973,0,256,0.1822459229852731,0,28,0.2376776129480392,0.8984419107437134,0.05825242772698401,0.57485032081604,0.8897070288658142,0.41254767775535583,0.10578512400388718,0.5266494154930115,0.9950463771820068,0.941747546195984,0.0049536037258803844,0.15939903259277344
train,active_promoters_vs_inactive_promoters,A549,4,0.0403777777745446,0,256,0.1054399731792991,1,199,0.014831730107946306,0,28,0.027262368256724068,0,142,0.24839078584989416,0.8980151414871216,0.03664159029722214,0.5909980535507202,0.8805773258209229,0.4088317155838013,0.06900491565465927,0.5168625712394714,0.99708354473114,0.9633584022521972,0.002916469005867839,0.1286805123090744
test,active_promoters_vs_inactive_promoters,A549,4,0.0403777777745446,0,256,0.1054399731792991,1,199,0.014831730107946306,0,28,0.027262368256724068,0,142,0.2504093733769429,0.8965309858322144,0.033009707927703864,0.4755244851112366,0.8761774301528931,0.3749291896820069,0.061733998358249664,0.5144118666648865,0.9958140254020692,0.966990292072296,0.004185968544334172,0.1039784699678421
subtrain,active_promoters_vs_inactive_promoters,A549,4,0.0403777777745446,0,256,0.1054399731792991,1,199,0.014831730107946306,0,28,0.027262368256724068,0,142,0.2483568438887596,0.8978614807128906,0.03548680618405342,0.5806451439857483,0.8809646964073181,0.40824532508850103,0.06688580662012099,0.5162694454193115,0.9970520734786988,0.9645131826400756,0.002947897184640169,0.12504227459430695
valid,active_promoters_vs_inactive_promoters,A549,4,0.0403777777745446,0,256,0.1054399731792991,1,199,0.014831730107946306,0,28,0.027262368256724068,0,142,0.24949664303234645,0.8985670208930969,0.04186893254518509,0.6216216087341309,0.8791540861129761,0.4104177057743073,0.0784536674618721,0.5194693207740784,0.9970697164535522,0.9581310749053956,0.0029303007759153843,0.14258632063865662
train,active_promoters_vs_inactive_promoters,A549,5,0.023521441349202053,0,256,0.1856001452027985,2,85,0.258717974954487,0,227,0.4157973854469592,0,28,0.24404169433413986,0.8978148698806763,0.026813879609107968,0.6054794788360596,0.8812799453735352,0.4088099002838135,0.05135354772210121,0.5124022364616394,0.9979905486106871,0.9731861352920532,0.002009433228522539,0.1118803471326828
test,active_promoters_vs_inactive_promoters,A549,5,0.023521441349202053,0,256,0.1856001452027985,2,85,0.258717974954487,0,227,0.4157973854469592,0,28,0.2489830515807188,0.8968814015388489,0.02766990289092064,0.5,0.8725489377975464,0.372815877199173,0.052437901496887214,0.5122442841529846,0.9968186616897584,0.9723300933837892,0.0031813362147659068,0.0988677740097046
subtrain,active_promoters_vs_inactive_promoters,A549,5,0.023521441349202053,0,256,0.1856001452027985,2,85,0.258717974954487,0,227,0.4157973854469592,0,28,0.24331872695684434,0.8979866504669191,0.027297543361783028,0.6271777153015137,0.8816686272621155,0.4128058552742005,0.05231797695159912,0.5127155780792236,0.9981335997581482,0.9727024435997008,0.001866420148871839,0.1157003864645958
valid,active_promoters_vs_inactive_promoters,A549,5,0.023521441349202053,0,256,0.1856001452027985,2,85,0.258717974954487,0,227,0.4157973854469592,0,28,0.2434322888415957,0.897065281867981,0.023058252409100533,0.5205479264259338,0.8799867630004883,0.3951118588447571,0.044160373508930206,0.5103081464767456,0.997558057308197,0.9769417643547058,0.00244191731326282,0.09297997504472733
train,active_promoters_vs_inactive_promoters,A549,6,0.33914983969434204,1,170,0.2849389051018161,0,28,0.21784019153230805,2,0,0.3953151001735785,0,113,0.25500026107215273,0.8971015214920044,0.012254307046532631,0.5549450516700745,0.8743520379066467,0.39196911454200745,0.02397910691797733,0.5055620074272156,0.9988697171211244,0.9877457022666932,0.0011303061619400976,0.07097362726926804
test,active_promoters_vs_inactive_promoters,A549,6,0.33914983969434204,1,170,0.2849389051018161,0,28,0.21784019153230805,2,0,0.3953151001735785,0,113,0.2555570621279222,0.8968814015388489,0.013106795959174631,0.5,0.8728315234184265,0.3790490925312042,0.025543993338942528,0.5057999491691589,0.9984930753707886,0.9868931770324708,0.001506948727183044,0.06794293224811554
subtrain,active_promoters_vs_inactive_promoters,A549,6,0.33914983969434204,1,170,0.2849389051018161,0,28,0.21784019153230805,2,0,0.3953151001735785,0,113,0.25488820976018906,0.8971731662750244,0.012738853693008423,0.5714285969734192,0.8745326995849609,0.3943830132484436,0.02492211759090424,0.5058199763298035,0.998901069164276,0.9872611761093141,0.001098920241929591,0.07391368597745895
valid,active_promoters_vs_inactive_promoters,A549,6,0.33914983969434204,1,170,0.2849389051018161,0,28,0.21784019153230805,2,0,0.3953151001735785,0,113,0.2557012164403522,0.8969401121139526,0.011529126204550266,0.5135135054588318,0.8729929327964783,0.3830149471759796,0.02255192957818508,0.5051366090774536,0.9987441301345824,0.9884708523750304,0.001255843206308782,0.06500651687383653
train,active_promoters_vs_inactive_promoters,A549,7,0.4647139133128266,2,85,0.1763358282854263,0,256,0.11862944622082765,0,28,0.22220682615127813,0,256,0.2446983116693771,0.8978023529052734,0.032880369573831565,0.5815450549125671,0.8785115480422974,0.3981770277023315,0.06224161759018897,0.5150796175003052,0.9972788691520692,0.9671196341514589,0.0027211073320358987,0.12046874314546585
test,active_promoters_vs_inactive_promoters,A549,7,0.4647139133128266,2,85,0.1763358282854263,0,256,0.11862944622082765,0,28,0.22220682615127813,0,256,0.2502218066137048,0.8965309858322144,0.02669902890920639,0.470085471868515,0.8716433644294739,0.37382447719573975,0.050528250634670265,0.5116193294525146,0.99653959274292,0.9733009934425354,0.003460400737822056,0.09261775016784668
subtrain,active_promoters_vs_inactive_promoters,A549,7,0.4647139133128266,2,85,0.1763358282854263,0,256,0.11862944622082765,0,28,0.22220682615127813,0,256,0.24370992821454998,0.8977363109588623,0.03260539844632149,0.5764074921607971,0.8799153566360474,0.40009182691574097,0.061719536781311035,0.5149247050285339,0.9972440004348756,0.9673945903778076,0.002756022149696946,0.11920233070850372
valid,active_promoters_vs_inactive_promoters,A549,7,0.4647139133128266,2,85,0.1763358282854263,0,256,0.11862944622082765,0,28,0.22220682615127813,0,256,0.2474907376463451,0.898003876209259,0.03337378799915314,0.5978260636329651,0.8732305765151978,0.3907986879348755,0.06321839243173599,0.5153961777687073,0.9974185228347778,0.966626226902008,0.0025814552791416645,0.12377915531396864
