run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
subtrain,active_enhancers_vs_active_promoters,A549,0,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.7467493874686105,0.7863804697990417,1.0,0.7761949896812439,0.9787817597389221,0.9902969598770142,0.8739975094795227,0.5878143906593323,0.17562879621982574,0.0,0.8243712186813354,0.3692183196544647
valid,active_enhancers_vs_active_promoters,A549,0,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.7672182520230612,0.7802247405052185,0.9993935823440552,0.7715355753898621,0.9741552472114563,0.9883708953857422,0.8708057999610901,0.5760856866836548,0.1527777761220932,0.0006064281333237886,0.8472222089767456,0.3401408791542053
train,active_enhancers_vs_active_promoters,A549,1,0.4191096957174961,56,2,8,5,2,1,0.1720878225946813,99,0,4,3,2,2,0.22815389124849014,1,35,0.3274472739793838,1,64,0.48337688500230963,0.98121178150177,0.9885950088500977,0.9860825538635254,0.9977900385856628,0.9992378950119019,0.9873371720314026,0.9743460416793823,0.9600971341133118,0.01140499860048294,0.03990284353494644,0.9509568214416504
test,active_enhancers_vs_active_promoters,A549,1,0.4191096957174961,56,2,8,5,2,1,0.1720878225946813,99,0,4,3,2,2,0.22815389124849014,1,35,0.3274472739793838,1,64,0.7274943373420022,0.8719884753227234,0.9155339598655701,0.9119922518730164,0.9183883666992188,0.9662237167358398,0.913759708404541,0.8315533995628357,0.7475728392601013,0.08446601778268814,0.25242719054222107,0.6655254364013672
subtrain,active_enhancers_vs_active_promoters,A549,1,0.4191096957174961,56,2,8,5,2,1,0.1720878225946813,99,0,4,3,2,2,0.22815389124849014,1,35,0.3274472739793838,1,64,0.4820801045213427,0.9815709590911865,0.9896860122680664,0.985500693321228,0.9977713227272034,0.9992308616638184,0.9875889420509338,0.9740277528762817,0.9583694934844971,0.010313969105482101,0.04163052886724472,0.9518451690673828
valid,active_enhancers_vs_active_promoters,A549,1,0.4191096957174961,56,2,8,5,2,1,0.1720878225946813,99,0,4,3,2,2,0.22815389124849014,1,35,0.3274472739793838,1,64,0.48719310760498047,0.9797753095626831,0.9842328429222107,0.9884287714958191,0.9979422688484192,0.9992944598197937,0.9863263368606567,0.975623369216919,0.9670138955116272,0.015767131000757217,0.0329861119389534,0.947532057762146
train,active_enhancers_vs_active_promoters,A549,2,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.4984974644400857,0.8774721026420593,0.9989080429077148,0.8587670922279358,0.9902939200401306,0.9963737726211548,0.9235514998435974,0.7645477056503296,0.5301873683929443,0.0010919679189100862,0.46981263160705566,0.6717674732208252
test,active_enhancers_vs_active_promoters,A549,2,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.677611540664326,0.8371089696884155,0.9888349771499634,0.8256992101669312,0.9246401190757751,0.96426922082901,0.8999337553977966,0.6962205171585083,0.403606116771698,0.01116504892706871,0.596393883228302,0.5434082746505737
subtrain,active_enhancers_vs_active_promoters,A549,2,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.5008040649550302,0.8771772384643555,0.998938262462616,0.8584463000297546,0.9898154139518738,0.996137261390686,0.9233788847923279,0.7639964818954468,0.5290546417236328,0.0010617321822792292,0.4709453582763672,0.6710003018379211
valid,active_enhancers_vs_active_promoters,A549,2,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.4917272759808434,0.8786516785621643,0.9987871646881104,0.860052227973938,0.9921907186508179,0.9973133206367493,0.9242424368858337,0.766754686832428,0.5347222089767456,0.0012128562666475773,0.4652777910232544,0.6748362183570862
